"id","name","type","combination_number","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"1","Kalender","4D","0870-2870","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"2","Surat Serikat","4D","0876-2876","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"3","Surat Kuasa","4D","0882-2882","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"4","Buah Limau","4D","0894-2894","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"5","Sempoa","4D","0911-2911","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"6","Mayat","4D","0922-2922","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"7","Minuman Kaleng","4D","0928-2928","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"8","Surat Gamdai","4D","0933-2933","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"9","Peti Listrik","4D","0944-2944","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"10","Mie Instan","4D","0956-2956","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"11","Gading","4D","0962-2962","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"12","Sayuran Kaleng","4D","0968-2968","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"13","Bumbu Kari","4D","0974-2974","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"14","Cleansing Milk","4D","0980-2980","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"15","Serbuk Obat","4D","0986-2986","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"16","Jantung","4D","0992-2992","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"17","Baju Singlet","4D","0998-2998","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"18","Empedu","4D","1004-7004","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"19","Roket","4D","1010-7010","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"20","Tanda Anggota","4D","1016-7016","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"21","Lilin","4D","1022-7022","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"22","Kertas Tissue","4D","1028-7028","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"23","Hadiah","4D","1034-7034","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"24","Lotere Palsu","4D","1039-7039","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"25","Perangkap Tikus","4D","1045-7045","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"26","Ikan Kalengan","4D","1057-7057","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"27","Timba","4D","1062-7062","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"28","Pencukur Rambut","4D","1068-7068","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"29","Buku Seks","4D","1074-7074","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"30","Bakul","4D","1080-7080","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"31","Muka (Wajah)","4D","1086-7086","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"32","Kue Tahun Baru","4D","1092-7092","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"33","Bus Mini","4D","1098-7098","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"34","Mandi Uap","4D","1109-7109","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"35","Warung Kecil","4D","1115-7115","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"36","Bintil Jerawat","4D","1127-7127","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"37","Kerongkongan","4D","1138-7138","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"38","Reuni","4D","1159-7159","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"39","Banyak Koran","4D","1191-7191","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"40","Tape Rusak","4D","1204-7204","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"41","AC Rusak","4D","1237-7237","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"42","Tak Ada Orang Di Rumah","4D","1247-7247","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"43","Tunggu Cuti Tahun Baru","4D","1252-7252","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"44","Peti Mati Dalam Rumah","4D","1266-7266","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"45","Extra kartu Mahyong","4D","1276-7276","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"46","Banyak The.","4D","1280-7280","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"47","Pohon Rontok","4D","1286-7286","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"48","Restaurant Penuh","4D","1292-7292","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"49","Dasi Tertinggal Di Mobil","4D","1299-7299","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"50","Istri Sakit","4D","1304-7304","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"51","Toko Tutup","4D","1309-7309","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"52","Nomor Mobil (Plat Mobil) Ganjil","4D","1312-7312","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"53","Pinjam Buku Cerita","4D","1321-7321","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"54","Baku Tembak","4D","2911-3465","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"55","Gedung Terbakar","4D","2453-2435","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"56","Kompor Elpiji Terbakar","4D","8678-8128","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"57","Menyusui Bayi","4D","8678-8128","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"58","Mau Berangkat Naik Kapal Laut","4D","2697-3032","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"59","Raja","4D","0000-2000","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"60","Penjaga Hutan","4D","0001-2001","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"61","Direktur","4D","0002-2002","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"62","Orang Melayu (malaysia)","4D","0003-2003","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"63","Penjual Durian","4D","0004-2004","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"64","Pembaca Doa","4D","0005-2005","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"65","Ibu Angkat","4D","0006-2006","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"66","Pekerja Jalanan","4D","0007-2007","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"67","Orang Australia (Bule)","4D","0008-2008","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"68","Pekerja Pameran","4D","0009-2009","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"69","Permaisuri","4D","0010-2010","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"70","Operator Mesin","4D","0011-2011","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"71","Juru Damai","4D","0012-2012","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"72","Penari Ballet","4D","0013-2013","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"73","Tukang Reparasi (Servis)","4D","0014-2014","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"74","Pencuri","4D","0015-2015","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"75","Ahli Iklan","4D","0016-2016","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"76","Orang Hong Kong","4D","0017-2017","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"77","Orang Pincang (keppang)","4D","0018-2018","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"78","Pemeriksa Pemandu","4D","0019-2019","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"79","Mentri","4D","0020-2020","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"80","Juru Rawat (Suster)","4D","0021-2021","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"81","Pekerja Rumah Sakit","4D","0022-2022","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"82","Orang India","4D","0023-2023","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"83","Wanita Pelayan","4D","0024-2024","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"84","Langganan","4D","0025-2025","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"85","Orang Rusia","4D","0026-2026","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"86","Gangster (Preman)","4D","0027-2027","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"87","Pengawal Pantai (Penjaga Pantai)","4D","0028-2028","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"88","Naik Gunung Pikul Sepeda","4D","7971-8128","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"89","Dokter Wanita","4D","0029-2029","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"90","Inspektur Polisi (Perwira Polisi)","4D","0030-2030","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"91","Jururawat Pria (Perawat)","4D","0031-2031","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"92","Dokter Gigi","4D","0032-2032","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"93","Pengacara","4D","0033-2033","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"94","Orang Gaib (Makhluk Halus)","4D","0034-2034","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"95","Penjudi","4D","0035-2035","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"96","Sinter Klas (Santa Claus)","4D","0036-2036","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"97","Penterjemah (Ahli Bahasa)","4D","0037-2037","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"98","Orang Kerdil (Manusia Kate)","4D","0038-2038","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"99","Polantas (Polisi Lalu Lintas)","4D","0039-2039","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"100","Orang Gila","4D","0040-2040","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"101","Pilot","4D","0041-2041","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"102","Penjaga Mobil","4D","0042-2042","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"103","Penderes Getah (Tukang Ambil Getah Karet)","4D","0043-2043","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"104","Orang Gemuk (Gendut","4D","0044-204","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"105","Anak Laki-Laki","4D","0045-2045","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"106","Orang Cacat","4D","0046-2046","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"107","Botak (Gundul)","4D","0047-2047","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"108","Polwan","4D","0048-2048","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"109","Karyawan Pompa Bensin (operator pom bensin)","4D","0049-2049","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"110","Penjaja (Tukang Jual Keliling)","4D","0050-2050","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"111","Ahli Kecantikan (Pakar Kecantikan)","4D","0051-2051","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"112","Tersangka","4D","0052-2052","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"113","Penyanyi Pria (Artis Pria)","4D","0053-2053","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"114","Paderi","4D","0054-2054","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"115","Anak Kecil","4D","0055-2055","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"116","Joki","4D","0056-2056","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"117","Gadis Buta","4D","0057-2057","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"118","Peronda (Tukang Ronda)","4D","0058-2058","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"119","Ibu Guru","4D","0059-2059","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"120","Penipu (Tukang Tipu)","4D","0060-2060","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"121","Tukang Emas","4D","0061-2061","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"122","Pecandu Narkotik (Pecandu Narkoba)","4D","0062-2062","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"123","Pegawai Kedutaan","4D","0065-2065","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"124","Hantu Pria (Jin LAki-Laki)","4D","0066-2066","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"125","Kepala Kantor Pos","4D","0067-2067","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"126","Sekertaris","4D","0068-2068","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"127","Pemain Badminton (Pemain Bulu Tangkis)","4D","0069-0069","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"128","Tukang Sulap (Pesulap)","4D","0070-2070","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"129","Spesialis","4D","0071-2071","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"130","Astronout","4D","0072-2072","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"131","Pemungut Karcis","4D","0073-2073","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"132","Sopir","4D","0074-2074","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"133","Penjual Jam","4D","0075-2075","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"134","Pencopet Wanita","4D","0076-2076","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"135","Anggota","4D","1077-2077","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"136","Peramal Nasib (Tukang Ramal)","4D","0078-2078","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"137","Pemandu Wisata (Guide)","4D","0079-2079","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"138","Perempuan Pencetak (Tukang Cetak)","4D","0080-2080","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"139","Polisi","4D","0081-2081","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"140","Pelayan","4D","0082-2082","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"141","Pondan","4D","0083-2083","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"142","Juru Tulis","4D","0084-2084","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"143","Tukang Mesin","4D","0085-2085","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"144","Pengantar Barang","4D","0086-2086","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"145","Orang Amerika","4D","0087-2087","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"146","Hantu Perempuan (Jin Perempuan)","4D","0088-2088","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"147","Orang Perancis","4D","0089-2089","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"148","Orang Asing","4D","0090-2090","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"149","Makelar Insuran","4D","0091-2091","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"150","Orang Cina","4D","0092-2092","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"151","Penjual Obat","4D","0093-2093","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"152","Inspektur (Perwira)","4D","0094-2094","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"153","Beli Buku","4D","8128-7971","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"154","Pencopet","4D","0095-2095","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"155","Orang Kaya","4D","0096-2096","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"156","Orang Hamil","4D","0097-2097","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"157","Detektif Swasta","4D","0098-2098","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"158","Tentara Pelarian","4D","0099-2099","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"159","Orang Gila","4D","0100-2100","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"160","Aktor","4D","0101-2101","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"161","Aktris","4D","0102-2102","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"162","Duta Besar","4D","0103-2103","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"163","Orang Asia","4D","0104-2104","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"164","Pengawas","4D","0105-2105","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"165","Salesman","4D","0106-2106","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"166","Suami","4D","0107-2107","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"167","Orang Jepang","4D","0108-2108","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"168","Penjual sayur","4D","0109-2109","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"169","Nelayan","4D","0110-2110","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"170","Negro","4D","0111-2111","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"171","Pekerja","4D","0112-2112","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"172","Perenang","4D","0113-2113","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"173","Tukang Kebun","4D","0114-2114","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"174","Membayar Hutang","4D","0115-2115","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"175","Ahli Ilmu Ghaib","4D","0116-2116","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"176","Pemabuk","4D","0117-2117","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"177","Pemakai Kacamata","4D","0118-2118","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"178","Pekerja Stasiun Minyak","4D","0119-2119","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"179","Orang singapura","4D","0120-2120","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"180","Rahib","4D","0121-2121","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"181","Tukang Kredit","4D","0122-2122","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"182","Perempuan Penjudi","4D","0123-2123","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"183","Orang Sabah","4D","0126-2126","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"184","Ikan Arwana","4D","2697-3032","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"185","Pemain Bola Keranjang","4D","0127-2127","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"186","Penjual Kosmetik","4D","0129-2129","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"187","Tukang Besi","4D","0130-2130","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"188","Petani","4D","0131-2131","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"189","Angkatan Laut","4D","0134-2134","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"190","Tukang Sepatu","4D","0135-2135","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"191","Fotografer","4D","0136-2136","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"192","Atlit","4D","0137-2137","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"193","Brimob","4D","0138-2138","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"194","Karyawan Pemda","4D","0139-2139","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"195","Kekasih","4D","0140-2140","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"196","Mendadak Kaya","4D","0141-2141","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"197","Pemburu","4D","0142-2142","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"198","Penjual Buah","4D","0145-2145","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"199","Tukang Sapu","4D","0146-2146","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"200","Pengemis","4D","0147-2147","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"201","Pragawan","4D","0148-2148","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"202","Buronan","4D","0149-2149","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"203","Penjaga Hutan","4D","0150-2150","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"204","Juru Selam","4D","0151-2151","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"205","Ayah Angkat","4D","0152-2152","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"206","Musuh","4D","0153-2153","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"207","Wanita Penjual Sayur","4D","0154-2154","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"208","Kapten Kapal","4D","0155-2155","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"209","Orang Taiwan","4D","0156-2156","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"210","Pemain Pedang","4D","0157-2157","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"211","Penyapu Lantai","4D","0158-2158","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"212","Pengacara Wanita","4D","0159-2159","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"213","Penghutang","4D","0160-2160","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"214","Penjaga Pintu","4D","0161-2161","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"215","Gadis Bar","4D","0162-2162","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"216","Pelukis","4D","0163-2163","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"217","Pelacur Laki Laki","4D","0164-2164","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"218","Orang Bisu","4D","0165-2165","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"219","Kuat Suka Bicara","4D","0166-2166","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"220","Tunangan","4D","0167-2167","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"221","Kondektur","4D","0168-2168","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"222","Rang Punyab","4D","0169-2169","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"223","Kutu buku","4D","0170-2170","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"224","Si Tuli","4D","0171-2171","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"225","Penjual Es Krim","4D","0172-2172","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"226","Peladang Tukang Kebun","4D","0173-2173","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"227","Banjir Bandang","4D","7971-8128","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"228","Atlit","4D","0174-2174","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"229","Karyawan Bank","4D","0175-2175","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"230","Karyawan Pabrik","4D","0176-2176","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"231","Tukang Angkut Barang","4D","0177-2177","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"232","Pelatuh Kungfu","4D","0178-2178","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"233","Tukang Pembersih Sampah","4D","0179-2179","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"234","Digerebek Polisi","4D","2697-3032","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"235","Barisan Pengawal 0180-2180 Orang Buta","4D","0181-2181","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"236","Guide","4D","0182-2182","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"237","Polantas","4D","0183-2183","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"238","Penjual Sepeda Motor","4D","0184-2184","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"239","Dukun India","4D","0185-2185","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"240","Grup Pencuri","4D","0186-2186","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"241","Pelacur","4D","0187-2187","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"242","Tukang Pembersih WC","4D","0188-2188","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"243","Murid Perempuan","4D","0189-2189","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"244","Orang Tua","4D","0190-2190","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"245","Tukang Cukur","4D","0191-2191","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"246","Tukang Listrik","4D","0192-2192","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"247","Pemain Sepak Bola","4D","0193-2193","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"248","Tukang pos","4D","0194-2194","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"249","Pelawak","4D","0195-2195","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"250","Tukang Cetak","4D","0196-2196","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"251","Karyawan Kantor Pengacara","4D","0197-2197","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"252","Orang Aneh","4D","0198-2198","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"253","Penarik Becak","4D","0199-2199","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"254","Bidan","4D","0200-2200","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"255","Tukang Jahit","4D","0201-2201","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"256","Kepala Sekolah Wanita","4D","0202-2202","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"257","Tukang kayu","4D","0203-2203","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"258","Perompak Lanun","4D","0204-2204","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"259","Juru Terapi","4D","0205-2205","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"260","Juru Tik","4D","0206-2206","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
